county_name,total_county_population,median_household_income,aggregate_household_income,per_capita_income,median_family_income,poverty_status_total_population,income_below_poverty_level,poverty_white_alone_total,poverty_white_alone_below_poverty,poverty_black_alone_total,poverty_black_alone_below_poverty,poverty_hispanic_total,poverty_hispanic_below_poverty,poverty_ratio_total,poverty_ratio_under_50_pct,poverty_ratio_50_99_pct,poverty_children_under_18_total,poverty_children_under_18_below_poverty,snap_total_households,snap_received_past_12mo,public_assistance_total_households,public_assistance_received,ssi_total_households,ssi_received,health_insurance_total,health_insurance_no_coverage,medicaid_means_tested_total,medicaid_means_tested_coverage,education_total_25_plus,education_high_school_diploma,education_bachelors_degree,education_masters_degree,employment_pop_16_plus,employment_civilian_labor_force,employment_employed,employment_unemployed,disability_total_pop,disability_male_under_5_with_disability,disability_male_5_17_with_disability,disability_male_18_34_with_disability,disability_male_35_64_with_disability,disability_male_65_74_with_disability,disability_male_75_plus_with_disability,disability_female_under_5_with_disability,disability_female_5_17_with_disability,disability_female_18_34_with_disability,disability_female_35_64_with_disability,disability_female_65_74_with_disability,disability_female_75_plus_with_disability,rent_burden_total_renters,rent_burden_50_plus_pct,median_gross_rent,families_with_children_total,families_female_householder_with_children,total_population,white_alone,black_alone,asian_alone,total_population_ethnicity,hispanic_or_latino,total_households,average_household_size,total_households_composition,family_households,married_couple_family,householder_living_alone,total_population_gender,male_population,female_population,median_age,median_home_value,language_total_5_plus,language_speak_only_english,english_proficiency_total_5_plus,english_speak_not_well,nativity_total,foreign_born,vehicles_total_households,vehicles_none,mean_travel_time_to_work,veteran_total_18_plus,veteran_population,state_fips,county_fips,white_pct,black_pct,asian_pct,hispanic_pct,male_pct,female_pct,family_household_pct,snap_participation_rate,public_assistance_rate,ssi_rate,poverty_rate,uninsured_rate,medicaid_rate,child_poverty_rate,white_poverty_rate,black_poverty_rate,hispanic_poverty_rate,deep_poverty_rate,near_poverty_rate,hs_graduate_rate,bachelors_plus_rate,labor_force_participation_rate,unemployment_rate,employment_rate,disability_rate,rent_burden_severe_50_plus,single_parent_rate,veteran_rate,english_only_rate,limited_english_rate,foreign_born_rate,no_vehicle_rate,data_pulled_date,acs_year
"Taylor County, Iowa",5916,65926,193326200,33092,76854,5806,496,5277,490,0,0,529,30,5806,247,249,1330,83,2442,184,2442,40,2442,125,5809,0,5809,295,4110,1480,483,119,4728,3049,2951,98,5809,0,26,48,116,88,117,0,20,65,94,77,92,517,40,636,1183,94,5916,5380,7,0,5916,529,2442,2.38,2442,1526,1253,779,5916,2949,2967,44.1,104500,,,2442,55,5916,296,2442,31,55305.0,4583,437,19,173,90.94,0.12,0.0,8.94,49.85,50.15,62.49,7.53,1.64,5.12,8.54,0.0,5.08,6.24,9.29,,5.67,4.25,4.29,36.01,14.65,64.49,3.21,62.42,12.79,7.74,7.95,9.54,,2.25,5.0,1.27,2025-11-24 04:14:22,2022
"Union County, Iowa",12107,56495,360528800,30966,78482,11783,1401,11207,1220,22,21,373,60,11783,683,718,2734,372,4979,779,4979,263,4979,310,11974,7,11974,482,8235,2498,1424,426,9761,5945,5604,341,11974,0,64,90,377,177,167,0,43,102,417,124,283,1268,189,712,2649,609,12107,11494,47,76,12107,382,4979,2.37,4979,2981,2356,1667,12107,5899,6208,40.0,113800,,,4979,0,12107,232,4979,102,,9316,803,19,175,94.94,0.39,0.63,3.16,48.72,51.28,59.87,15.65,5.28,6.23,11.89,0.06,4.03,13.61,10.89,95.45,16.09,5.8,6.09,30.33,22.47,60.91,5.74,57.41,15.4,14.91,22.99,8.62,,0.0,1.92,2.05,2025-11-24 04:14:22,2022
"Van Buren County, Iowa",7207,58417,226843800,32188,70893,7101,788,6884,745,25,3,115,22,7101,339,449,1601,214,2842,333,2842,57,2842,155,7138,88,7138,344,5072,1680,638,245,5758,3216,3060,156,7138,0,13,49,273,97,152,0,41,90,261,122,170,472,31,661,1559,234,7207,6982,30,46,7207,118,2842,2.5,2842,1860,1565,838,7207,3687,3520,45.0,107700,,,2842,0,7207,94,2842,120,57765.0,5567,501,19,177,96.88,0.42,0.64,1.64,51.16,48.84,65.45,11.72,2.01,5.45,11.1,1.23,4.82,13.37,10.82,12.0,19.13,4.77,6.32,33.12,17.41,55.85,4.85,53.14,17.76,6.57,15.01,9.0,,0.0,1.3,4.22,2025-11-24 04:14:22,2022
"Wapello County, Iowa",35292,56209,1026049500,30025,67016,34402,6001,29592,5111,1040,367,3969,404,34402,2456,3545,8036,1916,14193,2514,14193,551,14193,908,34895,35,34895,2346,24087,7615,2795,1185,27992,17223,16468,755,34895,7,191,265,1075,641,563,1,52,250,1023,566,766,4780,1251,909,7021,2226,35292,30266,1133,538,35292,4069,14193,2.43,14193,9261,6583,4135,35292,17753,17539,39.4,105800,,,14193,194,35292,2990,14193,287,301045.0,27015,1802,19,179,85.76,3.21,1.52,11.53,50.3,49.7,65.25,17.71,3.88,6.4,17.44,0.1,6.72,23.84,17.27,35.29,10.18,7.14,10.3,31.61,16.52,61.53,4.38,58.83,15.47,26.17,31.7,6.67,,1.37,8.47,2.02,2025-11-24 04:14:22,2022
"Warren County, Iowa",52709,89741,2102586100,41279,107434,50869,3135,47910,2683,301,164,1591,289,50869,1557,1578,12619,790,19906,1339,19906,513,19906,760,52070,23,52070,1806,34895,8990,7787,2491,41445,28512,27607,905,52070,40,164,289,757,492,714,3,315,404,1098,458,734,3650,648,943,12148,1674,52709,49561,396,389,52709,1709,19906,2.56,19906,13798,11184,5102,52709,26268,26441,38.5,234300,,,19906,0,52709,856,19906,176,,39749,2909,19,181,94.03,0.75,0.74,3.24,49.84,50.16,69.32,6.73,2.58,3.82,6.16,0.04,3.47,6.26,5.6,54.49,18.16,3.06,3.1,25.76,29.45,68.79,3.17,66.61,10.5,17.75,13.78,7.32,,0.0,1.62,0.88,2025-11-24 04:14:22,2022
"Washington County, Iowa",22534,71122,781433900,35451,86333,22106,1655,20276,1479,84,0,1578,187,22106,754,901,5467,472,8922,718,8922,209,8922,302,22163,19,22163,1162,15309,4989,2483,946,17739,12013,11701,312,22163,0,174,119,497,268,312,0,54,190,521,329,362,2536,234,849,5280,993,22534,20693,91,91,22534,1582,8922,2.48,8922,6131,4931,2409,22534,11121,11413,40.1,182400,,,8922,59,22534,843,8922,188,,16978,1249,19,183,91.83,0.4,0.4,7.02,49.35,50.65,68.72,8.05,2.34,3.38,7.49,0.09,5.24,8.63,7.29,0.0,11.85,3.41,4.08,32.59,22.4,67.72,2.6,65.96,12.75,9.23,18.81,7.36,,0.66,3.74,2.11,2025-11-24 04:14:22,2022
"Wayne County, Iowa",6484,58257,203390200,32524,77570,6360,847,6046,831,16,16,116,0,6360,249,598,1663,324,2531,250,2531,104,2531,91,6379,79,6379,382,4345,1545,486,137,4993,2905,2859,46,6379,0,17,20,209,138,110,0,11,37,143,77,132,510,64,627,1629,291,6484,6166,19,4,6484,117,2531,2.52,2531,1646,1392,790,6484,3238,3246,41.9,98700,,,2531,0,6484,61,2531,139,67005.0,4799,302,19,185,95.1,0.29,0.06,1.8,49.94,50.06,65.03,9.88,4.11,3.6,13.32,1.24,5.99,19.48,13.74,100.0,0.0,3.92,9.4,35.56,14.34,58.18,1.58,57.26,14.01,12.55,17.86,6.29,,0.0,0.94,5.49,2025-11-24 04:14:22,2022
"Webster County, Iowa",36986,65335,1242834000,33836,82733,34159,4151,30515,3157,795,314,1991,536,34159,2363,1788,7421,1091,15582,1602,15582,311,15582,652,35158,125,35158,1707,25086,7247,3861,898,30344,18333,17742,591,35158,3,135,394,746,435,560,0,302,402,856,402,770,4724,797,747,6934,1472,36986,32373,1256,434,36986,2173,15582,2.19,15582,8691,6427,5634,36986,19367,17619,39.8,130400,,,15582,52,36986,963,15582,158,,29213,2164,19,187,87.53,3.4,1.17,5.88,52.36,47.64,55.78,10.28,2.0,4.18,12.15,0.36,4.86,14.7,10.35,39.5,26.92,6.92,5.23,28.89,18.97,60.42,3.22,58.47,14.24,16.87,21.23,7.41,,0.33,2.6,1.01,2025-11-24 04:14:22,2022
"Winnebago County, Iowa",10704,62853,369836300,34966,86098,10048,779,9345,657,34,16,543,136,10048,430,349,2312,173,4511,430,4511,60,4511,99,10492,0,10492,334,7203,1997,1413,340,8726,5638,5495,143,10492,0,30,140,262,221,130,0,53,34,113,61,181,1111,114,669,2254,514,10704,9901,87,329,10704,574,4511,2.23,4511,2721,2111,1600,10704,5425,5279,41.5,121700,,,4511,34,10704,331,4511,98,80590.0,8382,633,19,189,92.5,0.81,3.07,5.36,50.68,49.32,60.32,9.53,1.33,2.19,7.75,0.0,3.18,7.48,7.03,47.06,25.05,4.28,3.47,27.72,24.34,64.61,2.54,62.97,11.68,10.26,22.8,7.55,,0.75,3.09,2.17,2025-11-24 04:14:22,2022
"Winneshiek County, Iowa",20050,67770,740720700,37561,88023,17920,1601,17225,1506,133,1,319,124,17920,643,958,3635,407,8218,380,8218,166,8218,390,19817,0,19817,754,13436,4071,2629,836,16861,11185,10955,230,19817,0,41,91,469,286,353,0,106,179,343,152,282,1936,268,763,3589,489,20050,19165,163,132,20050,486,8218,2.19,8218,5250,4526,2521,20050,10072,9978,42.6,225400,,,8218,26,20050,374,8218,69,173940.0,16324,1143,19,191,95.59,0.81,0.66,2.42,50.23,49.77,63.88,4.62,2.02,4.75,8.93,0.0,3.8,11.2,8.74,0.75,38.87,3.59,5.35,30.3,25.79,66.34,2.06,64.97,11.62,13.84,13.62,7.0,,0.32,1.87,0.84,2025-11-24 04:14:22,2022
